lh.aparc.area,lh_bankssts_area,lh_caudalanteriorcingulate_area,lh_caudalmiddlefrontal_area,lh_cuneus_area,lh_entorhinal_area,lh_fusiform_area,lh_inferiorparietal_area,lh_inferiortemporal_area,lh_isthmuscingulate_area,lh_lateraloccipital_area,lh_lateralorbitofrontal_area,lh_lingual_area,lh_medialorbitofrontal_area,lh_middletemporal_area,lh_parahippocampal_area,lh_paracentral_area,lh_parsopercularis_area,lh_parsorbitalis_area,lh_parstriangularis_area,lh_pericalcarine_area,lh_postcentral_area,lh_posteriorcingulate_area,lh_precentral_area,lh_precuneus_area,lh_rostralanteriorcingulate_area,lh_rostralmiddlefrontal_area,lh_superiorfrontal_area,lh_superiorparietal_area,lh_superiortemporal_area,lh_supramarginal_area,lh_frontalpole_area,lh_temporalpole_area,lh_transversetemporal_area,lh_insula_area,lh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
sub-NDARNM708YTF,1156.0,618.0,3124.0,1476.0,609.0,3468.0,3999.0,3127.0,1317.0,5661.0,2664.0,3882.0,1967.0,3105.0,758.0,1485.0,1463.0,734.0,1370.0,1756.0,4742.0,1389.0,5436.0,4396.0,706.0,6329.0,8195.0,5889.0,4427.0,5006.0,352.0,497.0,519.0,2510.0,94133.8,1095021.0,1564725.340863
sub-NDARNM721XWT,982.0,717.0,2231.0,1355.0,437.0,3614.0,4782.0,3739.0,1214.0,5785.0,3001.0,2816.0,1845.0,3717.0,783.0,1299.0,1996.0,807.0,1458.0,1146.0,4041.0,1158.0,4948.0,4333.0,861.0,6274.0,6906.0,6096.0,4020.0,4797.0,298.0,484.0,390.0,2755.0,91085.7,1127417.0,1605710.869661
sub-NDARNM722GA4,960.0,816.0,2084.0,1690.0,517.0,4059.0,5889.0,4430.0,1018.0,6148.0,3156.0,3813.0,1993.0,3805.0,657.0,1451.0,1442.0,946.0,1547.0,1689.0,4398.0,1376.0,5181.0,4226.0,976.0,7697.0,7321.0,6777.0,4390.0,5487.0,313.0,697.0,466.0,2637.0,100056.0,1320871.15746,1747911.50182
sub-NDARNM783ZVV,980.0,424.0,2516.0,1738.0,455.0,3508.0,4720.0,3598.0,1065.0,5980.0,2613.0,3230.0,1697.0,2929.0,634.0,1547.0,1572.0,698.0,1101.0,1282.0,4585.0,1267.0,5014.0,3977.0,835.0,5687.0,7371.0,5861.0,3754.0,4672.0,299.0,455.0,577.0,2336.0,88971.4,1090706.0,1491729.174008
sub-NDARNM794LLN,1067.0,720.0,2692.0,1467.0,524.0,3202.0,4271.0,3039.0,1152.0,4891.0,2648.0,3212.0,1998.0,3247.0,815.0,1545.0,1790.0,713.0,1515.0,1459.0,3923.0,1369.0,4827.0,4325.0,810.0,5776.0,8065.0,5651.0,4314.0,3750.0,289.0,533.0,464.0,2642.0,88706.8,1144145.0,1611082.167228
sub-NDARNN042YCH,1418.0,977.0,3916.0,1835.0,576.0,3785.0,4689.0,4775.0,1050.0,6340.0,3218.0,3441.0,1980.0,4639.0,739.0,1714.0,2211.0,944.0,1870.0,1564.0,4820.0,1624.0,8165.0,4374.0,1084.0,6999.0,10853.0,5644.0,5641.0,4751.0,367.0,448.0,617.0,2924.0,109993.0,1332377.0,1803798.395451
sub-NDARNN142WYB,944.0,682.0,2661.0,1789.0,563.0,3392.0,5057.0,3222.0,1248.0,5970.0,3121.0,3534.0,2100.0,3058.0,624.0,1169.0,2021.0,876.0,1674.0,1867.0,5232.0,1513.0,5653.0,5091.0,905.0,6273.0,8028.0,5407.0,4549.0,4619.0,296.0,601.0,589.0,2706.0,97031.9,1160800.0,1567952.392788
sub-NDARNN218UGY,866.0,593.0,1885.0,1226.0,550.0,2600.0,4046.0,2708.0,822.0,4195.0,2618.0,2565.0,1692.0,2394.0,775.0,1282.0,1461.0,619.0,1260.0,1035.0,4005.0,1286.0,4773.0,3551.0,848.0,4699.0,6743.0,4780.0,3483.0,3733.0,258.0,477.0,449.0,2371.0,76650.7,1023138.0,1388521.318885
sub-NDARNN321YCR,1371.0,464.0,2736.0,1203.0,461.0,2874.0,5677.0,3639.0,1047.0,4603.0,2842.0,2826.0,1962.0,4028.0,733.0,1550.0,1568.0,772.0,1090.0,1233.0,4697.0,1173.0,5394.0,4228.0,867.0,6788.0,8969.0,6710.0,4825.0,5035.0,283.0,449.0,475.0,2918.0,95490.3,1244474.148353,1583750.16562
sub-NDARNN493WMD,1238.0,540.0,2016.0,1529.0,527.0,3125.0,5218.0,3509.0,995.0,4687.0,2583.0,3181.0,1838.0,3588.0,658.0,1330.0,1506.0,826.0,1599.0,1495.0,4046.0,1146.0,4334.0,3705.0,599.0,6267.0,7600.0,5749.0,4105.0,4660.0,296.0,472.0,406.0,2584.0,87958.0,1097744.0,1499004.028078
